PacketID,X,Y,Confidence,Timestamp,DelaySeconds,Status
1,82,91,0.126986816293506,08-Feb-2026 01:44:27,1.37872619859463,DELIVERED
2,9,28,0.546881519204984,08-Feb-2026 01:44:28,1.44050956960802,DELIVERED
3,15,98,0.957166948242946,08-Feb-2026 01:44:30,0.779525908211978,DELIVERED
4,14,42,0.915735525189067,08-Feb-2026 01:44:30,1.20909026138338,DELIVERED
5,66,3,0.849129305868777,08-Feb-2026 01:44:32,1.40759054686057,DELIVERED
6,76,75,0.392227019534168,08-Feb-2026 01:44:33,1.01766904624858,DROPPED
7,71,3,0.27692298496089,08-Feb-2026 01:44:33,0.164639946883616,DROPPED
8,83,70,0.317099480060861,08-Feb-2026 01:44:33,1.4303108683737,DROPPED
9,44,38,0.765516788149002,08-Feb-2026 01:44:33,1.21327986159189,DROPPED
10,49,45,0.646313010111265,08-Feb-2026 01:44:33,1.0931107632013,DELIVERED
11,27,68,0.655098003973841,08-Feb-2026 01:44:34,0.327656429272483,DROPPED
12,50,96,0.340385726666133,08-Feb-2026 01:44:34,0.919374851371688,DELIVERED
13,75,25,0.505957051665142,08-Feb-2026 01:44:35,1.07870741171936,DELIVERED
14,96,55,0.138624442828679,08-Feb-2026 01:44:36,0.30901160778268,DELIVERED
15,84,25,0.814284826068816,08-Feb-2026 01:44:37,0.440934956214985,DELIVERED
16,35,19,0.251083857976031,08-Feb-2026 01:44:37,0.962462546605295,DELIVERED
17,35,83,0.585264091152724,08-Feb-2026 01:44:38,0.869613051607595,DELIVERED
18,28,76,0.753729094278495,08-Feb-2026 01:44:39,0.632624185765499,DELIVERED
19,7,5,0.530797553008973,08-Feb-2026 01:44:39,1.19083412214282,DELIVERED
20,13,57,0.469390641058206,08-Feb-2026 01:44:41,0.116662897301738,DELIVERED
21,16,80,0.311215042044805,08-Feb-2026 01:44:41,0.839946389708698,DROPPED
22,60,26,0.654079098476782,08-Feb-2026 01:44:41,1.06490030439601,DELIVERED
23,45,8,0.228976968716819,08-Feb-2026 01:44:42,1.37867230610234,DROPPED
24,83,54,0.996134716626885,08-Feb-2026 01:44:42,0.209445740254457,DELIVERED
25,10,97,0.00463422413406744,08-Feb-2026 01:44:42,1.1848746505961,DELIVERED
26,87,8,0.399782649098896,08-Feb-2026 01:44:43,0.463818563990916,DELIVERED
27,43,91,0.181847028302852,08-Feb-2026 01:44:44,0.469324083130786,DROPPED
28,13,87,0.57970458736557,08-Feb-2026 01:44:44,0.869804282570865,DROPPED
29,86,62,0.350952380892271,08-Feb-2026 01:44:44,0.818549355813875,DELIVERED
30,7,24,0.123318934835166,08-Feb-2026 01:44:45,0.357470903595383,DELIVERED
